# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-6.0 5.877013000000001 -2.992414 1.036869 -3.1848680000000003 -2.79588 0.796136 1.28338
-6.0 5.927198000000001 -2.9073319999999994 1.0095859999999999 -3.073704 -2.72766 0.786228 1.302528
-6.0 5.977063 -2.805486 0.9795140000000001 -2.9190159999999996 -2.66 0.767352 1.20332
-6.0 6.027072 -2.7144089999999994 0.951259 -2.857232 -2.5932639999999996 0.73208 1.213888
-6.0 6.077156000000001 -2.6090880000000003 0.9048670000000001 -2.745796 -2.4913160000000003 0.68804 1.1843
-6.0 6.127038 -2.5379769999999997 0.8947709999999998 -2.636984 -2.4406 0.687004 1.1274639999999998
-6.0 6.177187 -2.4669900000000005 0.8727719999999998 -2.55942 -2.3656800000000002 0.670668 1.067244
-6.0 6.22713 -2.3958120000000003 0.871586 -2.517836 -2.284488 0.656112 1.1583080000000001
-6.0 6.277110999999999 -2.3168 0.8553739999999999 -2.40318 -2.2184239999999997 0.647804 1.122604
-6.0 6.327124 -2.197298 0.8315269999999999 -2.291004 -2.1003119999999997 0.654184 1.028924
-6.0 6.377103 -2.1281669999999995 0.887286 -2.243176 -2.0175279999999995 0.6496560000000001 1.122636
-6.0 6.427118 -1.9997959999999997 0.8915920000000002 -2.1085399999999996 -1.9007640000000001 0.662584 1.14684
-6.0 6.477246000000001 -1.8628330000000002 0.8604520000000001 -1.9348239999999999 -1.7795360000000002 0.67304 1.0751559999999998
-6.0 6.527138 -1.7976700000000003 0.911713 -1.877144 -1.710588 0.6915760000000001 1.1078439999999998
-6.0 6.577155999999998 -1.722838 0.920824 -1.8076719999999997 -1.6443040000000002 0.71024 1.149048
-6.0 6.627170000000001 -1.6475090000000003 0.858354 -1.703624 -1.5915080000000001 0.683564 1.0008839999999999
-6.0 6.677099999999999 -1.5948039999999997 0.8516509999999999 -1.650944 -1.546268 0.704212 1.03406
-6.0 6.727179000000001 -1.5558109999999998 0.8500999999999999 -1.607176 -1.5009080000000001 0.6780440000000001 1.0250279999999998
-6.0 6.777115000000001 -1.5309469999999998 0.8696309999999999 -1.6011440000000001 -1.467684 0.6888519999999999 1.093016
-6.0 6.827144 -1.4917110000000002 0.837565 -1.542288 -1.442672 0.6846119999999999 0.9807520000000001
-6.0 6.877122000000001 -1.467347 0.8472359999999999 -1.5278599999999998 -1.40884 0.670684 1.028232
-6.0 6.927114999999999 -1.4429210000000001 0.836038 -1.504304 -1.3933840000000002 0.67084 1.051164
-6.0 6.977166 -1.4254520000000002 0.8425119999999999 -1.482516 -1.371312 0.679556 1.0032519999999998
-6.0 7.027111000000001 -1.402166 0.8361540000000001 -1.452144 -1.3532279999999999 0.678064 1.00546
-6.0 7.077171999999999 -1.3846260000000004 0.8167030000000001 -1.4289 -1.330604 0.661524 0.9680599999999999
-6.0 7.127131 -1.3690310000000003 0.798378 -1.409744 -1.323284 0.654408 0.938452
-6.0 7.177154999999998 -1.357226 0.7986719999999998 -1.410856 -1.3109279999999999 0.649188 0.971232
-6.0 7.227097 -1.3380189999999998 0.7806299999999999 -1.3728479999999998 -1.301208 0.664208 0.8755519999999999
-6.0 7.277128 -1.3292359999999999 0.771386 -1.361356 -1.29372 0.655768 0.8905959999999999
-6.0 7.327143000000001 -1.318792 0.7721559999999998 -1.35134 -1.276136 0.6440359999999999 0.8984400000000001
-6.0 7.377095000000001 -1.31366 0.7587879999999998 -1.357516 -1.278584 0.647188 0.895708
-6.0 7.427149000000001 -1.297929 0.7341549999999998 -1.3297119999999998 -1.26234 0.637808 0.856104
-5.0 3.977479 -5.0 0.0 -5.0 -5.0 0.0 0.0
-5.0 4.026254 -5.0 0.0 -5.0 -5.0 0.0 0.0
-5.0 4.076192 -5.0 2e-06 -5.0 -5.0 0.0 0.0
