# FeHinit FeH sigma_FeH
-3.25 -3.1785004668719146 0.09971736105291834
-3.25 -3.1268622552963543 0.16456262519038684
-3.25 -3.0816949842231627 0.19750210761767645
-3.25 -3.0299294363832567 0.2289811393515315
-3.25 -2.9829392300268505 0.2547774251736735
-3.25 -2.891681469494154 0.27617293891417505
-3.25 -2.813595628249871 0.298122958073655
-3.25 -2.7008671111363105 0.3029228711279628
-3.25 -2.589832039631401 0.30325173071922956
-3.25 -2.4849714449942355 0.2943680629499659
-3.25 -2.3722893303660046 0.2803244587475102
-3.25 -2.2635450265385595 0.27838933711521835
-3.25 -2.1304977290523355 0.27923806850726957
-3.25 -1.949503018953584 0.34004028152476307
-3.25 -1.7290167007002246 0.39665986539820275
-3.25 -1.5960831368513124 0.44288892284541514
-3.25 -1.4942443732260104 0.4540743755393191
-3.25 -1.41913032833434 0.4817344924473802
-3.25 -1.3724159059100105 0.4947370581281458
-3.25 -1.3396114312502312 0.49701457292504025
-3.25 -1.3159302540711313 0.5348478264901855
-3.25 -1.2768329359962816 0.5098257621684525
-3.25 -1.2715040267987647 0.5101481525585022
-3.25 -1.2673014201296344 0.525887445999958
-3.0 -3.000042264705882 2.9558823529220096e-05
-3.0 -2.999805890383465 0.00018810259181329167
-3.0 -2.9997576692744374 0.00025671363331497776
-3.0 -2.997534037734434 0.0035120972961390786
-3.0 -2.994711518486203 0.006869375096764315
-3.0 -2.990463821949341 0.011970563365355846
-3.0 -2.981691023739501 0.024602712109914934
-3.0 -2.976563755434161 0.03338084636144209
-3.0 -2.9624083188857147 0.0489233255475108
-3.0 -2.9532019645401775 0.06815029253869449
-3.0 -2.92118596708474 0.10725580152963053
-3.0 -2.889554305326902 0.13844686525398608
-3.0 -2.8489492439092867 0.1601502098485448
-3.0 -2.800121828156164 0.18760291244306554
-3.0 -2.7388230701744543 0.20340357248632918
-3.0 -2.678194085407532 0.22398059936828524
-3.0 -2.589976927197532 0.23757573831114678
-3.0 -2.499278578577058 0.24230110317174508
-3.0 -2.410725514683298 0.24120054194115947
-3.0 -2.3114405192978404 0.23356999360283193
-3.0 -2.211247435437572 0.23512113456145373
-3.0 -2.093794320535477 0.24350492357731077
-3.0 -1.9325609811603859 0.2963752550392459
-3.0 -1.710841242488149 0.36468461878918085
-3.0 -1.5705684544701188 0.40639119390394235
-3.0 -1.4777477740352332 0.43220173035257464
-3.0 -1.4050356819578533 0.45540916247735347
-3.0 -1.3606783714204975 0.46912665642226614
-3.0 -1.325837079086333 0.47953841399271946
-3.0 -1.298927163873216 0.4904603849139705
-3.0 -1.272960520362669 0.498596818788278
-3.0 -1.2542294673821068 0.48851896512111714
-3.0 -1.242432560494832 0.5095432207827575
-2.75 -2.7498952745585825 0.00010996638553463491
-2.75 -2.7498663377889017 0.00015022020877877268
-2.75 -2.7485606507733147 0.002073797330162957
-2.75 -2.747080489155685 0.0042112086489038475
-2.75 -2.7441938200139107 0.007198412630164942
-2.75 -2.7386903771980635 0.015389387903792753
-2.75 -2.7354395256127284 0.02112412814771799
-2.75 -2.7269073851990835 0.0318502164951301
-2.75 -2.719828115192879 0.04352723902855825
-2.75 -2.694949948899521 0.07452340999120612
-2.75 -2.6784272489119734 0.09036462238844127
-2.75 -2.6514339095963053 0.10796696943694926
-2.75 -2.61585925505414 0.1274004982054831
-2.75 -2.5668579333937163 0.14587691638128428
-2.75 -2.523396414050595 0.16065390236978747
-2.75 -2.456036906316183 0.17534716468591047
-2.75 -2.3856315409137054 0.17924216186897915
-2.75 -2.31548193557848 0.18624144339411774
-2.75 -2.2344373635396524 0.18905080225209284
-2.75 -2.1478953149174864 0.19255046162846354
-2.75 -2.0425370983655737 0.2080962361589378
-2.75 -1.8841603846597719 0.26335747522655734
-2.75 -1.6797555617492685 0.32880505504366914
-2.75 -1.5458951792076365 0.3768199817499893
-2.75 -1.4558371404673582 0.40109995914405266
-2.75 -1.3877007564346784 0.4262409026970968
-2.75 -1.3411493069693716 0.4437306739720379
-2.75 -1.3108898229605004 0.45110485120711713
-2.75 -1.2732793287273287 0.4609004707840106
-2.75 -1.258186413531281 0.478517952027251
-2.75 -1.2401781848774835 0.4674175595679687
-2.75 -1.2199166754865358 0.4822490033253737
-2.5 -2.4999160324600638 7.857150159718938e-05
-2.5 -2.4991685299826285 0.0012014218700842436
-2.5 -2.498308904822837 0.002454982451792732
-2.5 -2.4966238833991583 0.00426211516835706
-2.5 -2.4933025564179023 0.009330247817263531
-2.5 -2.4911122234493823 0.012790221260962058
-2.5 -2.485825689089035 0.019511425607456487
-2.5 -2.4809274895085163 0.026729837771730183
-2.5 -2.4647413627071524 0.048067324996389486
-2.5 -2.4538307949333915 0.057780553434796045
-2.5 -2.4341024695331073 0.0734257292543678
-2.5 -2.4121460845405167 0.0836094445506395
-2.5 -2.3804715661835942 0.09704315682817649
-2.5 -2.348703746023049 0.10981290819867887
-2.5 -2.3013341089145922 0.12293665374175511
-2.5 -2.2468467667582104 0.12748527982404526
-2.5 -2.194957122987182 0.1378262449288634
-2.5 -2.1297146804895837 0.14271304742526145
-2.5 -2.060189975238609 0.1494926606830874
-2.5 -1.97085902481464 0.16776514297365372
-2.5 -1.8280323394235407 0.22096983211260743
-2.5 -1.6402542612405673 0.2864652993189919
-2.5 -1.5136281770243656 0.33478276430139126
-2.5 -1.4255497255774217 0.364527886891641
-2.5 -1.3594106168181421 0.3920678146250444
-2.5 -1.3155942916936438 0.40699627997337423
-2.5 -1.2826023916614875 0.4204504739891973
-2.5 -1.250846449643102 0.43338034384634333
-2.5 -1.2317731348549124 0.4347820559642016
-2.5 -1.2119007769031753 0.4417672386705611
-2.5 -1.2017174806579998 0.45219048541128737
-2.25 -2.249945121437176 3.906012795162791e-05
-2.25 -2.249526863934426 0.0006869032786884303
-2.25 -2.2490490319474845 0.0014183892760846416
-2.25 -2.248056285622093 0.0024630262414516357
-2.25 -2.2461139581701524 0.0055049634524579035
-2.25 -2.2442703998169304 0.007272207178477368
-2.25 -2.241399954541558 0.011489157476080505
-2.25 -2.238744419320668 0.016079938274655255
-2.25 -2.2294279910361383 0.02815879418966228
-2.25 -2.2225260753088425 0.03478422673161206
-2.25 -2.2108479622422275 0.043802927071247555
-2.25 -2.1963841355962166 0.052368989009910064
-2.25 -2.175577751835915 0.06182239802292247
-2.25 -2.154345010615283 0.0709247337754988
-2.25 -2.120803853696707 0.08063647960189112
-2.25 -2.0833544178877035 0.08740699591976148
-2.25 -2.047295861771686 0.09599333478119661
-2.25 -1.9977742762730752 0.10195786616369203
-2.25 -1.945096347956095 0.11257012711680534
-2.25 -1.8722607025386955 0.1288406674271783
-2.25 -1.7500966323118692 0.17858972338848395
-2.25 -1.5779456075737155 0.24184115045055396
-2.25 -1.4639413668690862 0.2915568840632397
-2.25 -1.3839825415892721 0.3227173720636161
-2.25 -1.3230983874568112 0.349504785331123
-2.25 -1.2787187703523215 0.36828964618142657
-2.25 -1.2476486600328962 0.38204977379546806
-2.25 -1.2155476420016949 0.3939098600805729
-2.25 -1.2010750163395014 0.39841998047892535
-2.25 -1.1814218340448537 0.4054703838056486
-2.25 -1.1703544458025856 0.41431782915444204
-2.0 -1.9999614491451438 1.7447108039241193e-05
-2.0 -1.9997141512320522 0.0003828034359521604
-2.0 -1.9994546880733945 0.0008052935779817069
-2.0 -1.9988973911410728 0.0014125708285797438
-2.0 -1.9978175191657395 0.003207567006124879
-2.0 -1.996713613945623 0.004229367175126743
-2.0 -1.9950328141903595 0.006711718040511018
-2.0 -1.993483804111069 0.009278174751099101
-2.0 -1.9883633935684704 0.016028749857415918
-2.0 -1.9821490667894777 0.022030416114635906
-2.0 -1.9760888758811836 0.026118452039542446
-2.0 -1.9673254888486225 0.03117021944385053
-2.0 -1.9543612307293754 0.03772292539088961
-2.0 -1.9405814387512015 0.04407833143199086
-2.0 -1.9194375904709098 0.050778847476335175
-2.0 -1.8950295980270315 0.055682547069563285
-2.0 -1.8703150606638717 0.06404678373309171
-2.0 -1.8369109201779192 0.06900080211052949
-2.0 -1.798193644703464 0.07690155485084106
-2.0 -1.7435543643160523 0.09256188841766678
-2.0 -1.6488521159800906 0.13448803578675828
-2.0 -1.5030484085031073 0.19362210624104423
-2.0 -1.4004232351787953 0.24273029682355604
-2.0 -1.3257091556943583 0.2761713928275474
-2.0 -1.2695883675119353 0.3031441850980993
-2.0 -1.228699699721678 0.320468746690357
-2.0 -1.1989457092373208 0.3371430884333687
-2.0 -1.1703274406248083 0.3487767410884545
-2.0 -1.156038327266192 0.35543292802628507
-2.0 -1.1358507706283927 0.3643351096913213
-2.0 -1.1257366310868124 0.37010532867966317
-1.75 -1.7499724848761553 2.9220408627692503e-06
-1.75 -1.7498319299128753 0.00021371907066800537
-1.75 -1.749674961840675 0.0004465254524182001
-1.75 -1.74935740422788 0.0007928755837550936
-1.75 -1.748714784367984 0.0018040421658014599
-1.75 -1.7481571756902892 0.0024450974457624515
-1.75 -1.7472097777498565 0.00388400770135112
-1.75 -1.7461766249499588 0.00537603772091203
-1.75 -1.7432652161315882 0.009218289963125091
-1.75 -1.7402055383336121 0.012285224529882146
-1.75 -1.7366217311019254 0.015158674940781325
-1.75 -1.730495896947598 0.0185810558843945
-1.75 -1.7229996404181709 0.02227912365984311
-1.75 -1.7149344519855534 0.026085071787028707
-1.75 -1.7020522866123478 0.03070207150713183
-1.75 -1.68627258429925 0.03415559182784179
-1.75 -1.6706595705925946 0.04041339190226465
-1.75 -1.6487182347944338 0.04387666684138299
-1.75 -1.6228118563427103 0.05052991035008587
-1.75 -1.5845073246695516 0.06207272731500381
-1.75 -1.515288245521036 0.09806396570701892
-1.75 -1.3975680802966806 0.14734962370311788
-1.75 -1.3122396065673698 0.1927550133279753
-1.75 -1.2454804807759257 0.22389223396115596
-1.75 -1.1968041534374303 0.25105840823733594
-1.75 -1.1590287769778014 0.2690605575860312
-1.75 -1.132247774774607 0.2848995222919748
-1.75 -1.106315618237503 0.2975172034877295
-1.75 -1.093524567856867 0.3073742691930989
-1.75 -1.0769290210556588 0.31400255128932575
-1.75 -1.0645989800743112 0.3214126848411556
-1.5 -1.4999159999999976 -3.199999999797518e-05
-1.5 -1.4998938850996852 0.00011671406086037916
-1.5 -1.4997820966442954 0.0002330523489932913
-1.5 -1.4996659512682553 0.00046488531898536477
-1.5 -1.4992727856141006 0.0010228873486373517
-1.5 -1.498950724827716 0.0013859766799161578
-1.5 -1.4984180874476876 0.002216122911628823
-1.5 -1.497846258882719 0.003078382119782403
-1.5 -1.4962636388653205 0.005083630209568472
-1.5 -1.4944570510534327 0.007003480263168536
-1.5 -1.4920939117996954 0.0087785280151875
-1.5 -1.4888400395824364 0.010507991970736054
-1.5 -1.4842652762320707 0.013019403295995435
-1.5 -1.479292107324349 0.01522328177009604
-1.5 -1.4719227523106848 0.017981120852795275
-1.5 -1.4624687528365699 0.020330665301595878
-1.5 -1.4530245523338006 0.02458418827124928
-1.5 -1.439667117947752 0.026667059620206948
-1.5 -1.4231115707371256 0.031501658713131195
-1.5 -1.3974795578651327 0.039585641536784844
-1.5 -1.3480784005876518 0.06589187914487409
-1.5 -1.2608765359967347 0.10597408237995072
-1.5 -1.194121934234926 0.14317624884044453
-1.5 -1.1403813513180625 0.17287823854515152
-1.5 -1.0993377694482762 0.19724324614344535
-1.5 -1.0666777969157961 0.2157799543367215
-1.5 -1.0426658087815748 0.2299752514449919
-1.5 -1.0200521347252038 0.24215786708027565
-1.5 -1.008833494701892 0.25285424089488934
-1.5 -0.994638750222377 0.25976962697043654
-1.5 -0.983769801335724 0.26686803601436754
-1.25 -1.2500040768 8.602240000016276e-05
-1.25 -1.249881821369863 0.00013322301369855642
-1.25 -1.2497780885057173 0.00024120313598827712
-1.25 -1.249607247829991 0.0005875037413948409
-1.25 -1.2494422744647884 0.0008028607273524379
-1.25 -1.2491036516853933 0.0012541573033709062
-1.25 -1.2487487816641583 0.0017392076876014658
-1.25 -1.247761221115366 0.00312318973944273
-1.25 -1.2469436930086288 0.0038333208285733266
-1.25 -1.2453002688980757 0.0052826576566844885
-1.25 -1.2437947269525724 0.006041389549777225
-1.25 -1.2410121802908798 0.0074028669263112145
-1.25 -1.2382026692212456 0.008786767978309061
-1.25 -1.2338895046172706 0.010371494731322128
-1.25 -1.228237136543505 0.011920859925028839
-1.25 -1.2227508754543444 0.014414012639257854
-1.25 -1.214440756324375 0.01599785080475147
-1.25 -1.2041075102710488 0.018880663152445205
-1.25 -1.1884755596513665 0.024763571243918828
-1.25 -1.1556853584297744 0.04256605340913787
-1.25 -1.0959184769192922 0.0718032325247224
-1.25 -1.0473094302826118 0.1003246270219295
-1.25 -1.0059171952906767 0.12488309144355429
-1.25 -0.9732398585419388 0.1461770919397504
-1.25 -0.9469759907771557 0.1624906423800834
-1.25 -0.926694414698594 0.17601734378736997
-1.25 -0.9089771313073839 0.18737921493235377
-1.25 -0.8984162004867523 0.1964532747086915
-1.25 -0.8863629837029119 0.20382218488770648
-1.25 -0.8774880056096577 0.21048466045376046
-1.0 -0.9998950943396226 1.7169811320778485e-05
-1.0 -0.9999189541948386 6.518617274549183e-05
-1.0 -0.999843764691439 0.00011990235717796908
-1.0 -0.9997794152702316 0.000335024764083544
-1.0 -0.9996430653497774 0.0004255584668133815
-1.0 -0.9994970492346299 0.0007046545545797078
-1.0 -0.9992644222443203 0.0009539438537443424
-1.0 -0.9987001626880643 0.0017703927783349525
-1.0 -0.9982154948536464 0.0022221285440275173
-1.0 -0.9972867829519046 0.002914221826972855
-1.0 -0.9964567253716878 0.0034159752251768723
-1.0 -0.9949500602414878 0.0042217308700263235
-1.0 -0.9932697389196431 0.005006288687900801
-1.0 -0.9907871144107459 0.0059013910717823775
-1.0 -0.9876146336969672 0.006686304477530322
-1.0 -0.9844165548003997 0.008347868366229126
-1.0 -0.9796277246222034 0.009164632240319485
-1.0 -0.9735372473628998 0.010945728135978819
-1.0 -0.9637855380253146 0.014877671463034366
-1.0 -0.9432210069884327 0.026360448804452673
-1.0 -0.9061313959558094 0.04527080248964667
-1.0 -0.8710820796754487 0.06647730588859728
-1.0 -0.8422552789193111 0.08520644094593102
-1.0 -0.818395811063726 0.10224880853228636
-1.0 -0.7985154973214846 0.11530253397971102
-1.0 -0.7825382443517669 0.12654388910041917
-1.0 -0.7689778779243517 0.1364292227625355
-1.0 -0.7598666040142562 0.1441779685249351
-1.0 -0.751018206317722 0.1508175535717641
-1.0 -0.7437450737543128 0.15661190798450245
-0.75 -0.7499153489104752 6.985035442379309e-05
-0.75 -0.7498987988249955 0.00020197115898165646
-0.75 -0.7498258568767078 0.00025466651486305737
-0.75 -0.7497060788584963 0.0003899135977544277
-0.75 -0.7496158093573998 0.0005559922304403709
-0.75 -0.749273651680969 0.0009537072070099855
-0.75 -0.7489771655642844 0.0013136995714076623
-0.75 -0.7485318166217643 0.0016375117137167009
-0.75 -0.7479858004578503 0.001888212072648181
-0.75 -0.747137396226415 0.002396113207547218
-0.75 -0.7461743650219556 0.0028859133225899295
-0.75 -0.7447785405598569 0.0033443758130953204
-0.75 -0.7428943397770362 0.0038693034082279095
-0.75 -0.7410967685197076 0.004748059571190021
-0.75 -0.7383499465655884 0.00519661324284488
-0.75 -0.7349096685982216 0.006333907365438004
-0.75 -0.7291801175977215 0.008571078169420914
-0.75 -0.7169948935583873 0.015770813269869583
-0.75 -0.6932844383803808 0.028176084725037343
-0.75 -0.6720669775918291 0.041653492449530614
-0.75 -0.6523854706529906 0.05461136164071462
-0.75 -0.63583617803065 0.06697364525598105
-0.75 -0.6217206574099606 0.07701613487057479
-0.75 -0.6102729364279691 0.08566483813826875
-0.75 -0.6006952168230313 0.0933474697257871
-0.75 -0.5936729515252834 0.09951462858534893
-0.75 -0.5874078989307864 0.10501381827402032
-0.75 -0.5814655411313611 0.10947757847194804
-0.5 -0.5000146896551725 6.32758620689553e-05
-0.5 -0.4999057352941177 9.044117647058249e-05
-0.5 -0.500001105129446 0.00019805988386160077
-0.5 -0.4998747961545309 0.0002413601566672783
-0.5 -0.4997647850760686 0.00030004588263703326
-0.5 -0.49964409250587455 0.0005425009889608655
-0.5 -0.49940663064531593 0.000703334835554734
-0.5 -0.4990941583596214 0.0009038529968454567
-0.5 -0.49889757888357406 0.0011022917986346728
-0.5 -0.4983928970208115 0.0013468936086760593
-0.5 -0.4978574167051829 0.0015929562469743927
-0.5 -0.49705596796630896 0.00190936932481998
-0.5 -0.4959862758169414 0.002222205071035009
-0.5 -0.49498609051203746 0.002706360024146031
-0.5 -0.493410460676014 0.002981784683145608
-0.5 -0.49141481848479585 0.003618751610039211
-0.5 -0.48818288556101497 0.004960619649858174
-0.5 -0.48100734744372653 0.008987381620690517
-0.5 -0.46712348713119806 0.016465154845900137
-0.5 -0.4539388141207001 0.02489089446227412
-0.5 -0.4415220736070948 0.033473293103701375
-0.5 -0.43081716957437055 0.041718589366235896
-0.5 -0.4216383663906579 0.04860886234458595
-0.5 -0.41391908178747766 0.05484589749629627
-0.5 -0.40750895253191194 0.06039181933537368
-0.5 -0.4025149555196757 0.06479060957512824
-0.5 -0.39809827215478494 0.06863045805156706
-0.5 -0.39420648557438037 0.07224506892520839
-0.25 -0.2499974627582893 0.00010520134550694686
-0.25 -0.24989332554161917 0.00011015678449257182
-0.25 -0.2498355264633141 0.0001440006595218272
-0.25 -0.24979141409147096 0.00031231891223733137
-0.25 -0.24967433360316865 0.00042508745554944657
-0.25 -0.249533061582345 0.0005444788169944387
-0.25 -0.24937172680013275 0.0006259884968476753
-0.25 -0.2490769953564337 0.0007669967655159212
-0.25 -0.24876139094221758 0.0008879229567933401
-0.25 -0.2483464913705584 0.0010635208121827348
-0.25 -0.24773591383994117 0.001223120401001956
-0.25 -0.24715326317838687 0.0015162342284029318
-0.25 -0.24626747497215618 0.001675837417592559
-0.25 -0.24516170588909095 0.002045624874293611
-0.25 -0.24329514781920863 0.0027984503449163915
-0.25 -0.2390254102933473 0.005231974328461043
-0.25 -0.23126692105827673 0.009426546357119104
-0.25 -0.2232930676940689 0.01463802885504262
-0.25 -0.21576013681049266 0.01992323817580847
-0.25 -0.2091770124303386 0.024973426470732862
-0.25 -0.20345585237634442 0.029490622879141896
-0.25 -0.19868526451277094 0.03363483529018107
-0.25 -0.19450078511585342 0.03725496443888001
-0.25 -0.19132842490773866 0.04021671113605724
-0.25 -0.18843369030199525 0.042911443023336486
-0.25 -0.18589448963881944 0.04526583440515907
0.0 -9.760975609756205e-07 9.834487804878049e-05
0.0 8.743243243243244e-05 8.240540540540541e-05
0.0 0.00010196528050215768 0.00020260513927030204
0.0 0.00020902934257768975 0.0002083453014733193
0.0 0.0002823202696695807 0.0002843524225811232
0.0 0.0003441582649472451 0.0003562977725674092
0.0 0.0005217162537495834 0.0004130058882346406
0.0 0.0006819950762016413 0.0004896396248534584
0.0 0.0009308621333831497 0.0006133194470390436
0.0 0.0012601464025369631 0.0007226932745768296
0.0 0.0016137740374759112 0.0008423217434089139
0.0 0.0021111840006380607 0.0009417670282341683
0.0 0.002736391619807727 0.001126336296027571
0.0 0.0038351626059563502 0.0015979215348622853
0.0 0.006094570647881867 0.0029145667361893356
0.0 0.010784870079253314 0.0054739467742801135
0.0 0.015346600222560309 0.008493374832753428
0.0 0.019731685401416257 0.011546196741830567
0.0 0.023601203382590197 0.014620902178701151
0.0 0.02705804312401565 0.01735483958979963
0.0 0.029972704885297886 0.01989255371980567
0.0 0.03241263063109324 0.02219112225591141
0.0 0.034456639175996624 0.02406381467784913
0.0 0.03623869297243146 0.02580688346267992
0.0 0.03775539251715293 0.02727672885609229
0.25 0.24998724907292952 8.170519159449631e-05
0.25 0.25011380284301604 0.00011980407910994573
0.25 0.2501135369589345 0.00020894406215315236
0.25 0.2501971660567246 0.00019748993595608593
0.25 0.25027053410024647 0.00028365981922758715
0.25 0.2503776593826556 0.00028623194512495585
0.25 0.2505397617950273 0.00031891109763493167
0.25 0.2507051596409633 0.000401749533430086
0.25 0.25089149324383747 0.00049707257379021
0.25 0.25118241309823675 0.0005260251889168792
0.25 0.25152641442851603 0.0006626046028670783
0.25 0.2521408581599508 0.0008902249356011984
0.25 0.25338404376578344 0.001638464263578222
0.25 0.25616779478639606 0.0031437857046792655
0.25 0.25866437580441326 0.0047744981366227325
0.25 0.2612257471960647 0.006622869120591152
0.25 0.2634790122529216 0.008372639947215451
0.25 0.2654759882352941 0.01007884705882352
0.25 0.26723161571208115 0.011542011458573533
0.25 0.2686869710547978 0.012915446098598541
0.25 0.2698471741921447 0.014111002053860299
0.25 0.27096571962322646 0.015074591183119596
0.25 0.27189314688152527 0.016005508196901955
